# Testing 240 configurations 
# Reading [16] trace.out files from [../experiment-results/Jul-23-6/trace]
# -> Parrot_l1_sp-13.latency_trace.out
# -> Parrot_l1_sp-10.latency_trace.out
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-14.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-15.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-16.latency_trace.out
# -> Parrot_l1_sp-11.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# -> Parrot_l1_sp-12.latency_trace.out
# -> Parrot_l1_sp-09.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-02 0 0 1327635 0.5 10000 3 100 50 5 3 2
sp-12 0 0 1327635 0.5 10000 3 100 50 5 3 2
sp-09 0 0 1327646 0.5 10000 3 100 50 5 3 2
sp-13 0 0 1327635 0.5 10000 3 10 500 5 3 2
sp-10 0 0 1327646 0.5 10000 3 10 500 5 3 2
sp-07 0 0 1327646 0.5 10000 3 10 500 5 3 2
sp-14 0 0 1327635 0.5 10000 3 10 500 5 3 2
sp-08 0 0 1327635 0.5 10000 3 10 500 5 3 2
sp-15 0 0 1327635 0.5 10000 3 10 500 5 3 2
sp-06 0 0 1327635 0.5 10000 3 10 500 5 3 2
sp-16 0 0 1327635 0.5 10000 3 10 500 5 3 2
sp-11 0.866305 0.170985 1327646 0.5 10000 3 10 500 5 3 2
sp-03 0.853876 0.197069 1327635 0.5 10000 3 10 500 5 3 2
sp-04 0 0 1327635 0.5 10000 3 10 500 5 3 2
sp-05 0.882121 2.47088 1327635 0.5 10000 3 10 500 5 3 2
sp-01 0 0 1327646 0.5 10000 3 10 500 5 3 2
sp-02 0 0 1327635 0.5 10000 3 10 500 5 3 2
sp-12 0 0 1327635 0.5 10000 3 10 500 5 3 2
sp-09 0 0 1327646 0.5 10000 3 10 500 5 3 2
sp-13 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-10 0 0 1327646 0.65 10000 3 50 50 5 3 2
sp-07 0 0 1327646 0.65 10000 3 50 50 5 3 2
sp-14 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-08 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-15 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-06 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-16 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-11 0 0 1327646 0.65 10000 3 50 50 5 3 2
sp-03 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-04 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-05 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-01 0 0 1327646 0.65 10000 3 50 50 5 3 2
sp-02 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-12 0 0 1327635 0.65 10000 3 50 50 5 3 2
sp-09 0 0 1327646 0.65 10000 3 50 50 5 3 2
sp-13 0 0 1327635 0.65 10000 3 20 100 5 3 2
sp-10 0 0 1327646 0.65 10000 3 20 100 5 3 2
sp-07 0 0 1327646 0.65 10000 3 20 100 5 3 2
sp-14 0 0 1327635 0.65 10000 3 20 100 5 3 2
sp-08 0 0 1327635 0.65 10000 3 20 100 5 3 2
sp-15 0 0 1327635 0.65 10000 3 20 100 5 3 2
sp-06 0.847097 0.20333 1327635 0.65 10000 3 20 100 5 3 2
sp-16 0 0 1327635 0.65 10000 3 20 100 5 3 2
sp-11 0 0 1327646 0.65 10000 3 20 100 5 3 2
sp-03 0 0 1327635 0.65 10000 3 20 100 5 3 2
sp-04 0 0 1327635 0.65 10000 3 20 100 5 3 2
sp-05 0 0 1327635 0.65 10000 3 20 100 5 3 2
sp-01 0 0 1327646 0.65 10000 3 20 100 5 3 2
sp-02 0 0 1327635 0.65 10000 3 20 100 5 3 2
sp-12 0 0 1327635 0.65 10000 3 20 100 5 3 2
sp-09 0 0 1327646 0.65 10000 3 20 100 5 3 2
sp-13 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-10 0 0 1327646 0.65 10000 3 75 500 5 3 2
sp-07 0 0 1327646 0.65 10000 3 75 500 5 3 2
sp-14 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-08 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-15 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-06 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-16 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-11 0 0 1327646 0.65 10000 3 75 500 5 3 2
sp-03 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-04 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-05 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-01 0 0 1327646 0.65 10000 3 75 500 5 3 2
sp-02 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-12 0 0 1327635 0.65 10000 3 75 500 5 3 2
sp-09 0 0 1327646 0.65 10000 3 75 500 5 3 2
sp-13 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-10 0 0 1327646 0.65 10000 3 100 200 5 3 2
sp-07 0 0 1327646 0.65 10000 3 100 200 5 3 2
sp-14 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-08 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-15 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-06 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-16 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-11 0 0 1327646 0.65 10000 3 100 200 5 3 2
sp-03 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-04 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-05 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-01 0 0 1327646 0.65 10000 3 100 200 5 3 2
sp-02 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-12 0 0 1327635 0.65 10000 3 100 200 5 3 2
sp-09 0 0 1327646 0.65 10000 3 100 200 5 3 2
sp-13 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-10 0 0 1327646 0.5 10000 3 100 200 5 3 2
sp-07 0 0 1327646 0.5 10000 3 100 200 5 3 2
sp-14 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-08 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-15 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-06 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-16 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-11 0 0 1327646 0.5 10000 3 100 200 5 3 2
sp-03 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-04 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-05 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-01 0 0 1327646 0.5 10000 3 100 200 5 3 2
sp-02 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-12 0 0 1327635 0.5 10000 3 100 200 5 3 2
sp-09 0 0 1327646 0.5 10000 3 100 200 5 3 2
sp-13 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-10 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-07 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-14 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-08 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-15 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-06 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-16 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-11 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-03 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-04 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-05 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-01 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-02 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-12 0 0 1327635 0.5 10000 3 75 50 5 3 2
sp-09 0 0 1327646 0.5 10000 3 75 50 5 3 2
sp-13 0.888486 7.09782 1327635 0.5 10000 3 20 50 5 3 2
sp-10 0 0 1327646 0.5 10000 3 20 50 5 3 2
sp-07 0 0 1327646 0.5 10000 3 20 50 5 3 2
sp-14 0 0 1327635 0.5 10000 3 20 50 5 3 2
sp-08 0 0 1327635 0.5 10000 3 20 50 5 3 2
sp-15 0 0 1327635 0.5 10000 3 20 50 5 3 2
sp-06 0 0 1327635 0.5 10000 3 20 50 5 3 2
sp-16 0.892177 7.59947 1327635 0.5 10000 3 20 50 5 3 2
sp-11 0 0 1327646 0.5 10000 3 20 50 5 3 2
sp-03 0 0 1327635 0.5 10000 3 20 50 5 3 2
sp-04 0.875229 8.94959 1327635 0.5 10000 3 20 50 5 3 2
sp-05 0 0 1327635 0.5 10000 3 20 50 5 3 2
sp-01 0.880578 9.2083 1327646 0.5 10000 3 20 50 5 3 2
sp-02 0.890407 7.79826 1327635 0.5 10000 3 20 50 5 3 2
sp-12 0 0 1327635 0.5 10000 3 20 50 5 3 2
sp-09 0 0 1327646 0.5 10000 3 20 50 5 3 2
sp-13 0 0 1327635 0.5 10000 3 10 100 5 3 2
sp-10 0.892968 8.26463 1327646 0.5 10000 3 10 100 5 3 2
sp-07 0 0 1327646 0.5 10000 3 10 100 5 3 2
sp-14 0 0 1327635 0.5 10000 3 10 100 5 3 2
sp-08 0.842125 0.601564 1327635 0.5 10000 3 10 100 5 3 2
sp-15 0 0 1327635 0.5 10000 3 10 100 5 3 2
sp-06 0.892968 7.61985 1327635 0.5 10000 3 10 100 5 3 2
sp-16 0 0 1327635 0.5 10000 3 10 100 5 3 2
sp-11 0 0 1327646 0.5 10000 3 10 100 5 3 2
sp-03 0 0 1327635 0.5 10000 3 10 100 5 3 2
sp-04 0.891085 7.93276 1327635 0.5 10000 3 10 100 5 3 2
sp-05 0.892064 8.47885 1327635 0.5 10000 3 10 100 5 3 2
sp-01 0 0 1327646 0.5 10000 3 10 100 5 3 2
sp-02 0 0 1327635 0.5 10000 3 10 100 5 3 2
sp-12 0 0 1327635 0.5 10000 3 10 100 5 3 2
sp-09 0 0 1327646 0.5 10000 3 10 100 5 3 2
sp-13 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-10 0 0 1327646 0.5 10000 3 75 500 5 3 2
sp-07 0 0 1327646 0.5 10000 3 75 500 5 3 2
sp-14 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-08 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-15 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-06 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-16 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-11 0 0 1327646 0.5 10000 3 75 500 5 3 2
sp-03 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-04 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-05 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-01 0 0 1327646 0.5 10000 3 75 500 5 3 2
sp-02 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-12 0 0 1327635 0.5 10000 3 75 500 5 3 2
sp-09 0 0 1327646 0.5 10000 3 75 500 5 3 2
sp-13 0 0 1327635 0.5 10000 3 25 200 5 3 2
sp-10 0 0 1327646 0.5 10000 3 25 200 5 3 2
sp-07 0 0 1327646 0.5 10000 3 25 200 5 3 2
sp-14 0 0 1327635 0.5 10000 3 25 200 5 3 2
sp-08 0 0 1327635 0.5 10000 3 25 200 5 3 2
sp-15 0 0 1327635 0.5 10000 3 25 200 5 3 2
sp-06 0 0 1327635 0.5 10000 3 25 200 5 3 2
sp-16 0.860203 0.167342 1327635 0.5 10000 3 25 200 5 3 2
sp-11 0 0 1327646 0.5 10000 3 25 200 5 3 2
sp-03 0 0 1327635 0.5 10000 3 25 200 5 3 2
sp-04 0 0 1327635 0.5 10000 3 25 200 5 3 2
sp-05 0 0 1327635 0.5 10000 3 25 200 5 3 2
sp-01 0.860204 2.39201 1327646 0.5 10000 3 25 200 5 3 2
sp-02 0 0 1327635 0.5 10000 3 25 200 5 3 2
sp-12 0 0 1327635 0.5 10000 3 25 200 5 3 2
sp-09 0 0 1327646 0.5 10000 3 25 200 5 3 2
sp-13 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-10 0 0 1327646 0.65 10000 3 75 1000 5 3 2
sp-07 0 0 1327646 0.65 10000 3 75 1000 5 3 2
sp-14 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-08 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-15 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-06 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-16 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-11 0 0 1327646 0.65 10000 3 75 1000 5 3 2
sp-03 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-04 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-05 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-01 0 0 1327646 0.65 10000 3 75 1000 5 3 2
sp-02 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-12 0 0 1327635 0.65 10000 3 75 1000 5 3 2
sp-09 0 0 1327646 0.65 10000 3 75 1000 5 3 2
sp-13 0.891612 7.20727 1327635 0.65 10000 3 25 50 5 3 2
sp-10 0 0 1327646 0.65 10000 3 25 50 5 3 2
sp-07 0 0 1327646 0.65 10000 3 25 50 5 3 2
sp-14 0 0 1327635 0.65 10000 3 25 50 5 3 2
sp-08 0 0 1327635 0.65 10000 3 25 50 5 3 2
sp-15 0 0 1327635 0.65 10000 3 25 50 5 3 2
sp-06 0 0 1327635 0.65 10000 3 25 50 5 3 2
sp-16 0 0 1327635 0.65 10000 3 25 50 5 3 2
sp-11 0 0 1327646 0.65 10000 3 25 50 5 3 2
sp-03 0 0 1327635 0.65 10000 3 25 50 5 3 2
sp-04 0 0 1327635 0.65 10000 3 25 50 5 3 2
sp-05 0 0 1327635 0.65 10000 3 25 50 5 3 2
sp-01 0.86687 8.88473 1327646 0.65 10000 3 25 50 5 3 2
sp-02 0.843594 7.5017 1327635 0.65 10000 3 25 50 5 3 2
sp-12 0 0 1327635 0.65 10000 3 25 50 5 3 2
sp-09 0 0 1327646 0.65 10000 3 25 50 5 3 2
sp-13 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-10 0 0 1327646 0.65 10000 3 75 50 5 3 2
sp-07 0 0 1327646 0.65 10000 3 75 50 5 3 2
sp-14 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-08 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-15 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-06 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-16 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-11 0 0 1327646 0.65 10000 3 75 50 5 3 2
sp-03 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-04 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-05 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-01 0 0 1327646 0.65 10000 3 75 50 5 3 2
sp-02 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-12 0 0 1327635 0.65 10000 3 75 50 5 3 2
sp-09 0 0 1327646 0.65 10000 3 75 50 5 3 2
sp-13 0 0 1327635 0.65 10000 3 10 100 5 3 2
sp-10 0.892968 8.26463 1327646 0.65 10000 3 10 100 5 3 2
sp-07 0 0 1327646 0.65 10000 3 10 100 5 3 2
sp-14 0 0 1327635 0.65 10000 3 10 100 5 3 2
sp-08 0.842125 0.601564 1327635 0.65 10000 3 10 100 5 3 2
sp-15 0 0 1327635 0.65 10000 3 10 100 5 3 2
sp-06 0.892968 7.61985 1327635 0.65 10000 3 10 100 5 3 2
sp-16 0 0 1327635 0.65 10000 3 10 100 5 3 2
sp-11 0 0 1327646 0.65 10000 3 10 100 5 3 2
sp-03 0 0 1327635 0.65 10000 3 10 100 5 3 2
sp-04 0.891085 7.93276 1327635 0.65 10000 3 10 100 5 3 2
sp-05 0.892064 8.47885 1327635 0.65 10000 3 10 100 5 3 2
sp-01 0 0 1327646 0.65 10000 3 10 100 5 3 2
sp-02 0 0 1327635 0.65 10000 3 10 100 5 3 2
sp-12 0 0 1327635 0.65 10000 3 10 100 5 3 2
sp-09 0 0 1327646 0.65 10000 3 10 100 5 3 2
sp-13 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-10 0 0 1327646 0.65 10000 3 10 200 5 3 2
sp-07 0 0 1327646 0.65 10000 3 10 200 5 3 2
sp-14 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-08 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-15 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-06 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-16 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-11 0 0 1327646 0.65 10000 3 10 200 5 3 2
sp-03 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-04 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-05 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-01 0 0 1327646 0.65 10000 3 10 200 5 3 2
sp-02 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-12 0 0 1327635 0.65 10000 3 10 200 5 3 2
sp-09 0 0 1327646 0.65 10000 3 10 200 5 3 2
sp-13 0 0 1327635 0.5 10000 3 20 500 5 3 2
sp-10 0 0 1327646 0.5 10000 3 20 500 5 3 2
sp-07 0 0 1327646 0.5 10000 3 20 500 5 3 2
sp-14 0 0 1327635 0.5 10000 3 20 500 5 3 2
sp-08 0 0 1327635 0.5 10000 3 20 500 5 3 2
sp-15 0 0 1327635 0.5 10000 3 20 500 5 3 2
sp-06 0 0 1327635 0.5 10000 3 20 500 5 3 2
sp-16 0.870823 1.35431 1327635 0.5 10000 3 20 500 5 3 2
sp-11 0 0 1327646 0.5 10000 3 20 500 5 3 2
sp-03 0 0 1327635 0.5 10000 3 20 500 5 3 2
sp-04 0 0 1327635 0.5 10000 3 20 500 5 3 2
sp-05 0.879108 2.03099 1327635 0.5 10000 3 20 500 5 3 2
sp-01 0 0 1327646 0.5 10000 3 20 500 5 3 2
sp-02 0 0 1327635 0.5 10000 3 20 500 5 3 2
sp-12 0 0 1327635 0.5 10000 3 20 500 5 3 2
sp-09 0 0 1327646 0.5 10000 3 20 500 5 3 2
sp-13 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-10 0 0 1327646 0.65 10000 3 50 1000 5 3 2
sp-07 0 0 1327646 0.65 10000 3 50 1000 5 3 2
sp-14 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-08 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-15 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-06 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-16 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-11 0 0 1327646 0.65 10000 3 50 1000 5 3 2
sp-03 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-04 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-05 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-01 0 0 1327646 0.65 10000 3 50 1000 5 3 2
sp-02 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-12 0 0 1327635 0.65 10000 3 50 1000 5 3 2
sp-09 0 0 1327646 0.65 10000 3 50 1000 5 3 2
sp-13 0 0 1327635 0.5 10000 3 20 100 5 3 2
sp-10 0 0 1327646 0.5 10000 3 20 100 5 3 2
sp-07 0 0 1327646 0.5 10000 3 20 100 5 3 2
sp-14 0 0 1327635 0.5 10000 3 20 100 5 3 2
sp-08 0 0 1327635 0.5 10000 3 20 100 5 3 2
sp-15 0 0 1327635 0.5 10000 3 20 100 5 3 2
sp-06 0.847097 0.20333 1327635 0.5 10000 3 20 100 5 3 2
sp-16 0 0 1327635 0.5 10000 3 20 100 5 3 2
sp-11 0 0 1327646 0.5 10000 3 20 100 5 3 2
sp-03 0 0 1327635 0.5 10000 3 20 100 5 3 2
sp-04 0 0 1327635 0.5 10000 3 20 100 5 3 2
sp-05 0 0 1327635 0.5 10000 3 20 100 5 3 2
sp-01 0 0 1327646 0.5 10000 3 20 100 5 3 2
sp-02 0 0 1327635 0.5 10000 3 20 100 5 3 2
sp-12 0 0 1327635 0.5 10000 3 20 100 5 3 2
sp-09 0 0 1327646 0.5 10000 3 20 100 5 3 2
sp-13 0 0 1327635 0.65 10000 3 25 500 5 3 2
sp-10 0 0 1327646 0.65 10000 3 25 500 5 3 2
sp-07 0 0 1327646 0.65 10000 3 25 500 5 3 2
sp-14 0 0 1327635 0.65 10000 3 25 500 5 3 2
sp-08 0 0 1327635 0.65 10000 3 25 500 5 3 2
sp-15 0 0 1327635 0.65 10000 3 25 500 5 3 2
sp-06 0 0 1327635 0.65 10000 3 25 500 5 3 2
sp-16 0 0 1327635 0.65 10000 3 25 500 5 3 2
sp-11 0 0 1327646 0.65 10000 3 25 500 5 3 2
sp-03 0 0 1327635 0.65 10000 3 25 500 5 3 2
sp-04 0 0 1327635 0.65 10000 3 25 500 5 3 2
sp-05 0.865174 3.38223 1327635 0.65 10000 3 25 500 5 3 2
sp-01 0 0 1327646 0.65 10000 3 25 500 5 3 2
sp-02 0 0 1327635 0.65 10000 3 25 500 5 3 2
sp-12 0 0 1327635 0.65 10000 3 25 500 5 3 2
sp-09 0 0 1327646 0.65 10000 3 25 500 5 3 2
sp-13 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-10 0 0 1327646 0.65 10000 3 50 200 5 3 2
sp-07 0 0 1327646 0.65 10000 3 50 200 5 3 2
sp-14 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-08 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-15 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-06 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-16 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-11 0 0 1327646 0.65 10000 3 50 200 5 3 2
sp-03 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-04 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-05 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-01 0 0 1327646 0.65 10000 3 50 200 5 3 2
sp-02 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-12 0 0 1327635 0.65 10000 3 50 200 5 3 2
sp-09 0 0 1327646 0.65 10000 3 50 200 5 3 2
sp-13 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-10 0 0 1327646 0.5 50000 3 75 1000 5 3 2
sp-07 0 0 1327646 0.5 50000 3 75 1000 5 3 2
sp-14 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-08 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-15 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-06 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-16 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-11 0 0 1327646 0.5 50000 3 75 1000 5 3 2
sp-03 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-04 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-05 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-01 0 0 1327646 0.5 50000 3 75 1000 5 3 2
sp-02 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-12 0 0 1327635 0.5 50000 3 75 1000 5 3 2
sp-09 0 0 1327646 0.5 50000 3 75 1000 5 3 2
sp-13 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-10 0 0 1327646 0.65 10000 3 20 1000 5 3 2
sp-07 0 0 1327646 0.65 10000 3 20 1000 5 3 2
sp-14 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-08 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-15 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-06 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-16 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-11 0 0 1327646 0.65 10000 3 20 1000 5 3 2
sp-03 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-04 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-05 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-01 0 0 1327646 0.65 10000 3 20 1000 5 3 2
sp-02 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-12 0 0 1327635 0.65 10000 3 20 1000 5 3 2
sp-09 0 0 1327646 0.65 10000 3 20 1000 5 3 2
sp-13 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-10 0 0 1327646 0.5 50000 3 20 100 5 3 2
sp-07 0 0 1327646 0.5 50000 3 20 100 5 3 2
sp-14 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-08 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-15 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-06 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-16 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-11 0 0 1327646 0.5 50000 3 20 100 5 3 2
sp-03 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-04 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-05 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-01 0 0 1327646 0.5 50000 3 20 100 5 3 2
sp-02 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-12 0 0 1327635 0.5 50000 3 20 100 5 3 2
sp-09 0 0 1327646 0.5 50000 3 20 100 5 3 2
sp-13 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-10 0 0 1327646 0.65 50000 3 75 1000 5 3 2
sp-07 0 0 1327646 0.65 50000 3 75 1000 5 3 2
sp-14 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-08 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-15 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-06 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-16 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-11 0 0 1327646 0.65 50000 3 75 1000 5 3 2
sp-03 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-04 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-05 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-01 0 0 1327646 0.65 50000 3 75 1000 5 3 2
sp-02 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-12 0 0 1327635 0.65 50000 3 75 1000 5 3 2
sp-09 0 0 1327646 0.65 50000 3 75 1000 5 3 2
sp-13 0 0 1327635 0.65 50000 3 50 100 5 3 2
sp-10 0 0 1327646 0.65 50000 3 50 100 5 3 2
sp-07 0 0 1327646 0.65 50000 3 50 100 5 3 2
sp-14 0 0 1327635 0.65 50000 3 50 100 5 3 2
sp-08 0 0 1327635 0.65 50000 3 50 100 5 3 2
sp-15 0 0 1327635 0.65 50000 3 50 100 5 3 2
sp-06 0 0 1327635 0.65 50000 3 50 100 5 3 2
sp-16 0 0 1327635 0.65 50000 3 50 100 5 3 2
sp-11 0 0 1327646 0.65 50000 3 50 100 5 3 2
sp-03 0 0 1327635 0.65 50000 3 50 100 5 3 2
sp-04 0 0 1327635 0.65 50000 3 50 100 5 3 2
